BEFOLKNING_MRK_FNR__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PARSTATUS__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PARSTATUS__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PARSTATUS__4_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PERS17MIN_I_HUSHNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PERS17MIN_I_HUSHNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PERS17MIN_I_HUSHNR__2_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PERS18PLUS_I_HUSHNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PERS18PLUS_I_HUSHNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PERS18PLUS_I_HUSHNR__2_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PERS_I_HUSHNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PERS_I_HUSHNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_PERS_I_HUSHNR__4_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT_FAMNR__10_0, ident.UnitType: PERSON, measure.UnitType: FAMILIE, measure.format: RandomUInt48
BEFOLKNING_REGSTAT_FAMNR__1_0, ident.UnitType: PERSON, measure.UnitType: FAMILIE, measure.format: RandomUInt48
BEFOLKNING_REGSTAT_FAMNR__4_0, ident.UnitType: PERSON, measure.UnitType: FAMILIE, measure.format: RandomUInt48
BEFOLKNING_REGSTAT_FAMTYP__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT_FAMTYP__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT_FAMTYP__4_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT_HUSHTYP__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT_HUSHTYP__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT_HUSHTYP__4_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT_PERSONKODE__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT_PERSONKODE__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT_PERSONKODE__4_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_REGSTAT__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_SOSKENKODE__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_SOSKENKODE__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_SOSKENKODE__4_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_STATUSKODE_FNR_SAMORD__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_STATUSKODE_FNR_SAMORD__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_STATUSKODE_FNR_SAMORD__4_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
